league,market_id,volume_traded,lowest_stock,highest_stock,lowest_ratio,highest_ratio
Mirage,chaos|sulphite-scarab,"{'chaos': 2955, 'sulphite-scarab': 5891}","{'chaos': 948, 'sulphite-scarab': 5091}","{'chaos': 3017, 'sulphite-scarab': 7045}","{'chaos': 1, 'sulphite-scarab': 4}","{'chaos': 1, 'sulphite-scarab': 1}"
Mirage,chaos|the-endurance,"{'chaos': 200, 'the-endurance': 600}","{'chaos': 430, 'the-endurance': 7033}","{'chaos': 464, 'the-endurance': 7033}","{'chaos': 1, 'the-endurance': 3}","{'chaos': 1, 'the-endurance': 3}"
Mirage,chaos|influencing-scarab-of-the-elder,"{'chaos': 3042, 'influencing-scarab-of-the-elder': 9115}","{'chaos': 0, 'influencing-scarab-of-the-elder': 5524}","{'chaos': 316, 'influencing-scarab-of-the-elder': 11274}","{'chaos': 1, 'influencing-scarab-of-the-elder': 4}","{'chaos': 10, 'influencing-scarab-of-the-elder': 23}"
Mirage,chaos|an-audience-with-the-king,"{'chaos': 41800, 'an-audience-with-the-king': 801}","{'chaos': 80574, 'an-audience-with-the-king': 1613}","{'chaos': 98460, 'an-audience-with-the-king': 1922}","{'chaos': 46, 'an-audience-with-the-king': 1}","{'chaos': 60, 'an-audience-with-the-king': 1}"
Mirage,chaos|the-price-of-loyalty,"{'chaos': 3995, 'the-price-of-loyalty': 53}","{'chaos': 1550, 'the-price-of-loyalty': 35}","{'chaos': 1950, 'the-price-of-loyalty': 71}","{'chaos': 25, 'the-price-of-loyalty': 1}","{'chaos': 120, 'the-price-of-loyalty': 1}"
Mirage,chaos|memory-of-loneliness,"{'chaos': 365, 'memory-of-loneliness': 80}","{'chaos': 96, 'memory-of-loneliness': 93}","{'chaos': 115, 'memory-of-loneliness': 123}","{'chaos': 1, 'memory-of-loneliness': 3}","{'chaos': 9, 'memory-of-loneliness': 1}"
Mirage,chaos|brothers-stash,"{'chaos': 71, 'brothers-stash': 8}","{'chaos': 1673, 'brothers-stash': 9}","{'chaos': 1694, 'brothers-stash': 29}","{'chaos': 7, 'brothers-stash': 1}","{'chaos': 10, 'brothers-stash': 1}"
Mirage,chaos|decaying-fragment,"{'chaos': 179662, 'decaying-fragment': 1173}","{'chaos': 133268, 'decaying-fragment': 1361}","{'chaos': 179144, 'decaying-fragment': 1703}","{'chaos': 131, 'decaying-fragment': 1}","{'chaos': 170, 'decaying-fragment': 1}"
Mirage,chaos|black-oil,"{'chaos': 11959, 'black-oil': 735}","{'chaos': 32617, 'black-oil': 1716}","{'chaos': 38299, 'black-oil': 2056}","{'chaos': 16, 'black-oil': 1}","{'chaos': 17, 'black-oil': 1}"
Mirage,chaos|haunting-shadows,"{'chaos': 0, 'haunting-shadows': 0}","{'chaos': 0, 'haunting-shadows': 12}","{'chaos': 0, 'haunting-shadows': 16}","{'chaos': 0, 'haunting-shadows': 0}","{'chaos': 0, 'haunting-shadows': 0}"
Mirage,chaos|shrieking-essence-of-doubt,"{'chaos': 75, 'shrieking-essence-of-doubt': 82}","{'chaos': 164, 'shrieking-essence-of-doubt': 464}","{'chaos': 187, 'shrieking-essence-of-doubt': 522}","{'chaos': 1, 'shrieking-essence-of-doubt': 5}","{'chaos': 3, 'shrieking-essence-of-doubt': 1}"
Mirage,chaos|camerias-cut,"{'chaos': 10, 'camerias-cut': 400}","{'chaos': 7, 'camerias-cut': 124}","{'chaos': 7, 'camerias-cut': 124}","{'chaos': 1, 'camerias-cut': 40}","{'chaos': 1, 'camerias-cut': 40}"
Mirage,chaos|weeping-essence-of-contempt,"{'chaos': 0, 'weeping-essence-of-contempt': 0}","{'chaos': 142, 'weeping-essence-of-contempt': 12}","{'chaos': 142, 'weeping-essence-of-contempt': 40}","{'chaos': 0, 'weeping-essence-of-contempt': 0}","{'chaos': 0, 'weeping-essence-of-contempt': 0}"
Mirage,chaos|breach-scarab-of-snares,"{'chaos': 3157, 'breach-scarab-of-snares': 488}","{'chaos': 1953, 'breach-scarab-of-snares': 31}","{'chaos': 2771, 'breach-scarab-of-snares': 264}","{'chaos': 2, 'breach-scarab-of-snares': 3}","{'chaos': 16, 'breach-scarab-of-snares': 1}"
Mirage,chaos|anarchys-price,"{'chaos': 1050, 'anarchys-price': 52}","{'chaos': 456, 'anarchys-price': 59}","{'chaos': 456, 'anarchys-price': 98}","{'chaos': 9, 'anarchys-price': 1}","{'chaos': 30, 'anarchys-price': 1}"
Mirage,chaos|shrieking-essence-of-greed,"{'chaos': 135, 'shrieking-essence-of-greed': 222}","{'chaos': 191, 'shrieking-essence-of-greed': 96}","{'chaos': 230, 'shrieking-essence-of-greed': 123}","{'chaos': 1, 'shrieking-essence-of-greed': 5}","{'chaos': 15, 'shrieking-essence-of-greed': 4}"
Mirage,chaos|screaming-essence-of-hatred,"{'chaos': 47, 'screaming-essence-of-hatred': 186}","{'chaos': 7, 'screaming-essence-of-hatred': 2030}","{'chaos': 52, 'screaming-essence-of-hatred': 2140}","{'chaos': 1, 'screaming-essence-of-hatred': 4}","{'chaos': 1, 'screaming-essence-of-hatred': 2}"
Mirage,chaos|exceptional-eldritch-ichor,"{'chaos': 58363, 'exceptional-eldritch-ichor': 369}","{'chaos': 115164, 'exceptional-eldritch-ichor': 265}","{'chaos': 224328, 'exceptional-eldritch-ichor': 467}","{'chaos': 140, 'exceptional-eldritch-ichor': 1}","{'chaos': 174, 'exceptional-eldritch-ichor': 1}"
Mirage,chaos|eldritch-perfection,"{'chaos': 22, 'eldritch-perfection': 5}","{'chaos': 20, 'eldritch-perfection': 274}","{'chaos': 20, 'eldritch-perfection': 279}","{'chaos': 4, 'eldritch-perfection': 1}","{'chaos': 5, 'eldritch-perfection': 1}"
Mirage,chaos|the-oath,"{'chaos': 0, 'the-oath': 0}","{'chaos': 0, 'the-oath': 7}","{'chaos': 0, 'the-oath': 7}","{'chaos': 0, 'the-oath': 0}","{'chaos': 0, 'the-oath': 0}"
Mirage,chaos|glyphic-fossil,"{'chaos': 6439, 'glyphic-fossil': 155}","{'chaos': 5557, 'glyphic-fossil': 103}","{'chaos': 6697, 'glyphic-fossil': 177}","{'chaos': 20, 'glyphic-fossil': 1}","{'chaos': 69, 'glyphic-fossil': 1}"
Mirage,chaos|vivid-lifeforce,"{'chaos': 302749, 'vivid-lifeforce': 3136804}","{'chaos': 34751, 'vivid-lifeforce': 2180797}","{'chaos': 157243, 'vivid-lifeforce': 2649996}","{'chaos': 1, 'vivid-lifeforce': 12}","{'chaos': 1, 'vivid-lifeforce': 9}"
Mirage,chaos|sepia-oil,"{'chaos': 76, 'sepia-oil': 384}","{'chaos': 0, 'sepia-oil': 6487}","{'chaos': 0, 'sepia-oil': 6865}","{'chaos': 1, 'sepia-oil': 6}","{'chaos': 1, 'sepia-oil': 1}"
Mirage,chaos|chimer,"{'chaos': 1073, 'chimer': 133}","{'chaos': 7496, 'chimer': 958}","{'chaos': 8287, 'chimer': 1037}","{'chaos': 4, 'chimer': 1}","{'chaos': 10, 'chimer': 1}"
Mirage,chaos|screaming-essence-of-dread,"{'chaos': 381, 'screaming-essence-of-dread': 873}","{'chaos': 240, 'screaming-essence-of-dread': 5215}","{'chaos': 439, 'screaming-essence-of-dread': 5419}","{'chaos': 1, 'screaming-essence-of-dread': 10}","{'chaos': 3, 'screaming-essence-of-dread': 2}"
Mirage,chaos|the-insatiable,"{'chaos': 0, 'the-insatiable': 0}","{'chaos': 0, 'the-insatiable': 51}","{'chaos': 0, 'the-insatiable': 200}","{'chaos': 0, 'the-insatiable': 0}","{'chaos': 0, 'the-insatiable': 0}"
Mirage,chaos|the-silly-boy,"{'chaos': 3840, 'the-silly-boy': 69}","{'chaos': 59680, 'the-silly-boy': 848}","{'chaos': 61476, 'the-silly-boy': 1153}","{'chaos': 46, 'the-silly-boy': 1}","{'chaos': 75, 'the-silly-boy': 1}"
Mirage,chaos|the-chains-that-bind,"{'chaos': 723, 'the-chains-that-bind': 116}","{'chaos': 40, 'the-chains-that-bind': 3717}","{'chaos': 95, 'the-chains-that-bind': 3806}","{'chaos': 5, 'the-chains-that-bind': 1}","{'chaos': 8, 'the-chains-that-bind': 1}"
Mirage,chaos|horned-scarab-of-bloodlines,"{'chaos': 932000, 'horned-scarab-of-bloodlines': 1566}","{'chaos': 227400, 'horned-scarab-of-bloodlines': 266}","{'chaos': 341130, 'horned-scarab-of-bloodlines': 349}","{'chaos': 587, 'horned-scarab-of-bloodlines': 1}","{'chaos': 605, 'horned-scarab-of-bloodlines': 1}"
Mirage,chaos|scour,"{'chaos': 57364, 'scour': 83343}","{'chaos': 9367, 'scour': 600740}","{'chaos': 17659, 'scour': 616488}","{'chaos': 1, 'scour': 2}","{'chaos': 1, 'scour': 1}"
Mirage,chaos|crimson-oil,"{'chaos': 4694, 'crimson-oil': 908}","{'chaos': 11548, 'crimson-oil': 6595}","{'chaos': 16648, 'crimson-oil': 7032}","{'chaos': 5, 'crimson-oil': 1}","{'chaos': 6, 'crimson-oil': 1}"
Mirage,chaos|divine,"{'chaos': 14494519, 'divine': 43088}","{'chaos': 5954021, 'divine': 3266}","{'chaos': 6490986, 'divine': 8202}","{'chaos': 330, 'divine': 1}","{'chaos': 340, 'divine': 1}"
Mirage,chaos|demigods-wager,"{'chaos': 856, 'demigods-wager': 672}","{'chaos': 3169, 'demigods-wager': 1}","{'chaos': 4023, 'demigods-wager': 1}","{'chaos': 1, 'demigods-wager': 1}","{'chaos': 13, 'demigods-wager': 10}"
Mirage,chaos|cartography-scarab-of-risk,"{'chaos': 423995, 'cartography-scarab-of-risk': 2133}","{'chaos': 150058, 'cartography-scarab-of-risk': 649}","{'chaos': 301542, 'cartography-scarab-of-risk': 783}","{'chaos': 195, 'cartography-scarab-of-risk': 1}","{'chaos': 210, 'cartography-scarab-of-risk': 1}"
Mirage,chaos|parasitic-passengers,"{'chaos': 193, 'parasitic-passengers': 611}","{'chaos': 50, 'parasitic-passengers': 332}","{'chaos': 146, 'parasitic-passengers': 348}","{'chaos': 1, 'parasitic-passengers': 10}","{'chaos': 6, 'parasitic-passengers': 1}"
Mirage,chaos|the-thaumaturgist,"{'chaos': 210, 'the-thaumaturgist': 45}","{'chaos': 1312, 'the-thaumaturgist': 544}","{'chaos': 1320, 'the-thaumaturgist': 584}","{'chaos': 2, 'the-thaumaturgist': 1}","{'chaos': 5, 'the-thaumaturgist': 1}"
Mirage,chaos|the-wolf,"{'chaos': 7, 'the-wolf': 603}","{'chaos': 0, 'the-wolf': 232}","{'chaos': 0, 'the-wolf': 235}","{'chaos': 1, 'the-wolf': 600}","{'chaos': 2, 'the-wolf': 1}"
Mirage,chaos|lucent-fossil,"{'chaos': 2902, 'lucent-fossil': 251}","{'chaos': 9093, 'lucent-fossil': 598}","{'chaos': 10735, 'lucent-fossil': 731}","{'chaos': 10, 'lucent-fossil': 1}","{'chaos': 14, 'lucent-fossil': 1}"
Mirage,chaos|the-sword-kings-salute,"{'chaos': 0, 'the-sword-kings-salute': 0}","{'chaos': 0, 'the-sword-kings-salute': 24151}","{'chaos': 0, 'the-sword-kings-salute': 24151}","{'chaos': 0, 'the-sword-kings-salute': 0}","{'chaos': 0, 'the-sword-kings-salute': 0}"
Mirage,chaos|the-realm,"{'chaos': 57, 'the-realm': 20}","{'chaos': 0, 'the-realm': 706}","{'chaos': 0, 'the-realm': 722}","{'chaos': 14, 'the-realm': 5}","{'chaos': 3, 'the-realm': 1}"
Mirage,chaos|lesser-eldritch-ichor,"{'chaos': 327, 'lesser-eldritch-ichor': 6612}","{'chaos': 0, 'lesser-eldritch-ichor': 14055}","{'chaos': 0, 'lesser-eldritch-ichor': 22555}","{'chaos': 1, 'lesser-eldritch-ichor': 38}","{'chaos': 1, 'lesser-eldritch-ichor': 20}"
Mirage,chaos|violet-oil,"{'chaos': 935, 'violet-oil': 563}","{'chaos': 2828, 'violet-oil': 1811}","{'chaos': 5828, 'violet-oil': 2357}","{'chaos': 1, 'violet-oil': 1}","{'chaos': 3, 'violet-oil': 1}"
Mirage,chaos|the-wolven-kings-bite,"{'chaos': 0, 'the-wolven-kings-bite': 0}","{'chaos': 0, 'the-wolven-kings-bite': 68}","{'chaos': 0, 'the-wolven-kings-bite': 80}","{'chaos': 0, 'the-wolven-kings-bite': 0}","{'chaos': 0, 'the-wolven-kings-bite': 0}"
Mirage,chaos|the-dapper-prodigy,"{'chaos': 30, 'the-dapper-prodigy': 6}","{'chaos': 0, 'the-dapper-prodigy': 1}","{'chaos': 0, 'the-dapper-prodigy': 6}","{'chaos': 5, 'the-dapper-prodigy': 1}","{'chaos': 5, 'the-dapper-prodigy': 1}"
Mirage,chaos|the-feast,"{'chaos': 0, 'the-feast': 0}","{'chaos': 0, 'the-feast': 7}","{'chaos': 0, 'the-feast': 12}","{'chaos': 0, 'the-feast': 0}","{'chaos': 0, 'the-feast': 0}"
Mirage,chaos|fragment-of-shape,"{'chaos': 18035, 'fragment-of-shape': 100}","{'chaos': 36079, 'fragment-of-shape': 288}","{'chaos': 42463, 'fragment-of-shape': 319}","{'chaos': 162, 'fragment-of-shape': 1}","{'chaos': 205, 'fragment-of-shape': 1}"
Mirage,chaos|intrinsic-catalyst,"{'chaos': 1003, 'intrinsic-catalyst': 4556}","{'chaos': 2677, 'intrinsic-catalyst': 47097}","{'chaos': 3032, 'intrinsic-catalyst': 50054}","{'chaos': 1, 'intrinsic-catalyst': 9}","{'chaos': 1, 'intrinsic-catalyst': 1}"
Mirage,chaos|wailing-essence-of-spite,"{'chaos': 0, 'wailing-essence-of-spite': 0}","{'chaos': 10, 'wailing-essence-of-spite': 4}","{'chaos': 10, 'wailing-essence-of-spite': 4}","{'chaos': 0, 'wailing-essence-of-spite': 0}","{'chaos': 0, 'wailing-essence-of-spite': 0}"
Mirage,chaos|shrieking-essence-of-hatred,"{'chaos': 1851, 'shrieking-essence-of-hatred': 887}","{'chaos': 27, 'shrieking-essence-of-hatred': 1049}","{'chaos': 596, 'shrieking-essence-of-hatred': 1515}","{'chaos': 1, 'shrieking-essence-of-hatred': 20}","{'chaos': 4, 'shrieking-essence-of-hatred': 1}"
Mirage,chaos|runegraft-of-rallying,"{'chaos': 217, 'runegraft-of-rallying': 17}","{'chaos': 5529, 'runegraft-of-rallying': 55}","{'chaos': 5685, 'runegraft-of-rallying': 58}","{'chaos': 12, 'runegraft-of-rallying': 1}","{'chaos': 17, 'runegraft-of-rallying': 1}"
Mirage,chaos|the-shepherds-sandals,"{'chaos': 266, 'the-shepherds-sandals': 29}","{'chaos': 374, 'the-shepherds-sandals': 258}","{'chaos': 380, 'the-shepherds-sandals': 284}","{'chaos': 2, 'the-shepherds-sandals': 1}","{'chaos': 10, 'the-shepherds-sandals': 1}"
Mirage,chaos|screaming-essence-of-loathing,"{'chaos': 0, 'screaming-essence-of-loathing': 0}","{'chaos': 33, 'screaming-essence-of-loathing': 0}","{'chaos': 33, 'screaming-essence-of-loathing': 76}","{'chaos': 0, 'screaming-essence-of-loathing': 0}","{'chaos': 0, 'screaming-essence-of-loathing': 0}"
Mirage,chaos|the-fiend,"{'chaos': 5035, 'the-fiend': 20}","{'chaos': 10406, 'the-fiend': 8}","{'chaos': 19426, 'the-fiend': 19}","{'chaos': 200, 'the-fiend': 1}","{'chaos': 380, 'the-fiend': 1}"
Mirage,chaos|the-inoculated,"{'chaos': 0, 'the-inoculated': 0}","{'chaos': 0, 'the-inoculated': 3415}","{'chaos': 0, 'the-inoculated': 3416}","{'chaos': 0, 'the-inoculated': 0}","{'chaos': 0, 'the-inoculated': 0}"
Mirage,chaos|the-professor,"{'chaos': 0, 'the-professor': 0}","{'chaos': 0, 'the-professor': 34}","{'chaos': 0, 'the-professor': 37}","{'chaos': 0, 'the-professor': 0}","{'chaos': 0, 'the-professor': 0}"
Mirage,chaos|the-fortunate,"{'chaos': 37748, 'the-fortunate': 692}","{'chaos': 255114, 'the-fortunate': 270}","{'chaos': 280665, 'the-fortunate': 419}","{'chaos': 54, 'the-fortunate': 1}","{'chaos': 55, 'the-fortunate': 1}"
Mirage,chaos|tattoo-of-the-tawhoa-herbalist,"{'chaos': 452, 'tattoo-of-the-tawhoa-herbalist': 70}","{'chaos': 218, 'tattoo-of-the-tawhoa-herbalist': 171}","{'chaos': 230, 'tattoo-of-the-tawhoa-herbalist': 227}","{'chaos': 1, 'tattoo-of-the-tawhoa-herbalist': 2}","{'chaos': 8, 'tattoo-of-the-tawhoa-herbalist': 1}"
Mirage,chaos|the-dreamland,"{'chaos': 0, 'the-dreamland': 0}","{'chaos': 0, 'the-dreamland': 55}","{'chaos': 0, 'the-dreamland': 59}","{'chaos': 0, 'the-dreamland': 0}","{'chaos': 0, 'the-dreamland': 0}"
Mirage,chaos|darker-half,"{'chaos': 12193, 'darker-half': 302}","{'chaos': 32318, 'darker-half': 115}","{'chaos': 40110, 'darker-half': 163}","{'chaos': 40, 'darker-half': 1}","{'chaos': 42, 'darker-half': 1}"
Mirage,chaos|when-currents-blaze,"{'chaos': 30, 'when-currents-blaze': 1}","{'chaos': 0, 'when-currents-blaze': 20}","{'chaos': 0, 'when-currents-blaze': 20}","{'chaos': 30, 'when-currents-blaze': 1}","{'chaos': 30, 'when-currents-blaze': 1}"
Mirage,chaos|essence-of-horror,"{'chaos': 25471, 'essence-of-horror': 678}","{'chaos': 4049, 'essence-of-horror': 2156}","{'chaos': 11449, 'essence-of-horror': 2386}","{'chaos': 31, 'essence-of-horror': 1}","{'chaos': 42, 'essence-of-horror': 1}"
Mirage,chaos|harvest-scarab,"{'chaos': 1687, 'harvest-scarab': 3337}","{'chaos': 2311, 'harvest-scarab': 2298}","{'chaos': 3536, 'harvest-scarab': 5055}","{'chaos': 1, 'harvest-scarab': 2}","{'chaos': 1, 'harvest-scarab': 1}"
Mirage,chaos|silver-oil,"{'chaos': 39009, 'silver-oil': 246}","{'chaos': 34207, 'silver-oil': 1082}","{'chaos': 37320, 'silver-oil': 1208}","{'chaos': 139, 'silver-oil': 1}","{'chaos': 168, 'silver-oil': 1}"
Mirage,chaos|the-insane-cat,"{'chaos': 3079, 'the-insane-cat': 2}","{'chaos': 15334, 'the-insane-cat': 12}","{'chaos': 20451, 'the-insane-cat': 16}","{'chaos': 1279, 'the-insane-cat': 1}","{'chaos': 1800, 'the-insane-cat': 1}"
Mirage,chaos|tattoo-of-the-kitava-warrior,"{'chaos': 1663, 'tattoo-of-the-kitava-warrior': 244}","{'chaos': 562, 'tattoo-of-the-kitava-warrior': 241}","{'chaos': 2106, 'tattoo-of-the-kitava-warrior': 348}","{'chaos': 3, 'tattoo-of-the-kitava-warrior': 1}","{'chaos': 10, 'tattoo-of-the-kitava-warrior': 1}"
Mirage,chaos|the-celestial-stone,"{'chaos': 0, 'the-celestial-stone': 0}","{'chaos': 0, 'the-celestial-stone': 83}","{'chaos': 0, 'the-celestial-stone': 84}","{'chaos': 0, 'the-celestial-stone': 0}","{'chaos': 0, 'the-celestial-stone': 0}"
Mirage,chaos|prime-chaotic-resonator,"{'chaos': 41297, 'prime-chaotic-resonator': 69}","{'chaos': 141054, 'prime-chaotic-resonator': 39}","{'chaos': 171025, 'prime-chaotic-resonator': 64}","{'chaos': 583, 'prime-chaotic-resonator': 1}","{'chaos': 647, 'prime-chaotic-resonator': 1}"
Mirage,chaos|tattoo-of-the-rongokurai-brute,"{'chaos': 200, 'tattoo-of-the-rongokurai-brute': 148}","{'chaos': 3000, 'tattoo-of-the-rongokurai-brute': 41}","{'chaos': 3081, 'tattoo-of-the-rongokurai-brute': 117}","{'chaos': 1, 'tattoo-of-the-rongokurai-brute': 1}","{'chaos': 2, 'tattoo-of-the-rongokurai-brute': 1}"
Mirage,chaos|abyss-scarab,"{'chaos': 625, 'abyss-scarab': 1339}","{'chaos': 598, 'abyss-scarab': 576}","{'chaos': 891, 'abyss-scarab': 1229}","{'chaos': 1, 'abyss-scarab': 4}","{'chaos': 1, 'abyss-scarab': 1}"
Mirage,chaos|bestiary-scarab-of-duplicating,"{'chaos': 34876, 'bestiary-scarab-of-duplicating': 10412}","{'chaos': 127037, 'bestiary-scarab-of-duplicating': 11276}","{'chaos': 140542, 'bestiary-scarab-of-duplicating': 13818}","{'chaos': 3, 'bestiary-scarab-of-duplicating': 1}","{'chaos': 4, 'bestiary-scarab-of-duplicating': 1}"
Mirage,chaos|deafening-essence-of-misery,"{'chaos': 5328, 'deafening-essence-of-misery': 1264}","{'chaos': 15553, 'deafening-essence-of-misery': 989}","{'chaos': 19464, 'deafening-essence-of-misery': 1332}","{'chaos': 4, 'deafening-essence-of-misery': 1}","{'chaos': 9, 'deafening-essence-of-misery': 2}"
Mirage,chaos|tattoo-of-the-arohongui-warrior,"{'chaos': 15867, 'tattoo-of-the-arohongui-warrior': 304}","{'chaos': 21552, 'tattoo-of-the-arohongui-warrior': 363}","{'chaos': 31752, 'tattoo-of-the-arohongui-warrior': 447}","{'chaos': 50, 'tattoo-of-the-arohongui-warrior': 1}","{'chaos': 59, 'tattoo-of-the-arohongui-warrior': 1}"
Mirage,chaos|tattoo-of-the-tasalio-scout,"{'chaos': 1036, 'tattoo-of-the-tasalio-scout': 67}","{'chaos': 2295, 'tattoo-of-the-tasalio-scout': 197}","{'chaos': 2456, 'tattoo-of-the-tasalio-scout': 218}","{'chaos': 5, 'tattoo-of-the-tasalio-scout': 1}","{'chaos': 24, 'tattoo-of-the-tasalio-scout': 1}"
Mirage,chaos|singular-delirium-orb,"{'chaos': 4915, 'singular-delirium-orb': 188}","{'chaos': 18656, 'singular-delirium-orb': 37}","{'chaos': 25130, 'singular-delirium-orb': 116}","{'chaos': 25, 'singular-delirium-orb': 1}","{'chaos': 29, 'singular-delirium-orb': 1}"
Mirage,chaos|audacity,"{'chaos': 9, 'audacity': 1}","{'chaos': 100, 'audacity': 595}","{'chaos': 100, 'audacity': 595}","{'chaos': 9, 'audacity': 1}","{'chaos': 9, 'audacity': 1}"
Mirage,chaos|horned-scarab-of-nemeses,"{'chaos': 539, 'horned-scarab-of-nemeses': 1270}","{'chaos': 2070, 'horned-scarab-of-nemeses': 4972}","{'chaos': 2290, 'horned-scarab-of-nemeses': 6266}","{'chaos': 1, 'horned-scarab-of-nemeses': 4}","{'chaos': 1, 'horned-scarab-of-nemeses': 2}"
Mirage,chaos|fine-delirium-orb,"{'chaos': 226132, 'fine-delirium-orb': 7440}","{'chaos': 56363, 'fine-delirium-orb': 19326}","{'chaos': 86072, 'fine-delirium-orb': 22261}","{'chaos': 28, 'fine-delirium-orb': 1}","{'chaos': 32, 'fine-delirium-orb': 1}"
Mirage,chaos|essence-scarab-of-ascent,"{'chaos': 1742, 'essence-scarab-of-ascent': 3791}","{'chaos': 442, 'essence-scarab-of-ascent': 27282}","{'chaos': 628, 'essence-scarab-of-ascent': 34008}","{'chaos': 1, 'essence-scarab-of-ascent': 5}","{'chaos': 1, 'essence-scarab-of-ascent': 1}"
Mirage,chaos|omen-of-brilliance,"{'chaos': 9331, 'omen-of-brilliance': 351}","{'chaos': 31411, 'omen-of-brilliance': 446}","{'chaos': 34990, 'omen-of-brilliance': 537}","{'chaos': 23, 'omen-of-brilliance': 1}","{'chaos': 30, 'omen-of-brilliance': 1}"
Mirage,chaos|tattoo-of-the-ngamahu-warmonger,"{'chaos': 13823, 'tattoo-of-the-ngamahu-warmonger': 100}","{'chaos': 35403, 'tattoo-of-the-ngamahu-warmonger': 220}","{'chaos': 37819, 'tattoo-of-the-ngamahu-warmonger': 255}","{'chaos': 104, 'tattoo-of-the-ngamahu-warmonger': 1}","{'chaos': 174, 'tattoo-of-the-ngamahu-warmonger': 1}"
Mirage,chaos|the-enthusiasts,"{'chaos': 148, 'the-enthusiasts': 33}","{'chaos': 463, 'the-enthusiasts': 1324}","{'chaos': 523, 'the-enthusiasts': 1359}","{'chaos': 2, 'the-enthusiasts': 1}","{'chaos': 9, 'the-enthusiasts': 1}"
Mirage,chaos|orb-of-remembrance,"{'chaos': 29552, 'orb-of-remembrance': 310}","{'chaos': 59085, 'orb-of-remembrance': 156}","{'chaos': 77385, 'orb-of-remembrance': 213}","{'chaos': 90, 'orb-of-remembrance': 1}","{'chaos': 100, 'orb-of-remembrance': 1}"
Mirage,chaos|thaumaturges-delirium-orb,"{'chaos': 2424, 'thaumaturges-delirium-orb': 91}","{'chaos': 37847, 'thaumaturges-delirium-orb': 67}","{'chaos': 43047, 'thaumaturges-delirium-orb': 108}","{'chaos': 26, 'thaumaturges-delirium-orb': 1}","{'chaos': 28, 'thaumaturges-delirium-orb': 1}"
Mirage,chaos|weeping-essence-of-hatred,"{'chaos': 0, 'weeping-essence-of-hatred': 0}","{'chaos': 0, 'weeping-essence-of-hatred': 77}","{'chaos': 0, 'weeping-essence-of-hatred': 77}","{'chaos': 0, 'weeping-essence-of-hatred': 0}","{'chaos': 0, 'weeping-essence-of-hatred': 0}"
Mirage,chaos|influencing-scarab-of-the-shaper,"{'chaos': 1356, 'influencing-scarab-of-the-shaper': 3920}","{'chaos': 0, 'influencing-scarab-of-the-shaper': 3774}","{'chaos': 517, 'influencing-scarab-of-the-shaper': 5154}","{'chaos': 1, 'influencing-scarab-of-the-shaper': 4}","{'chaos': 4, 'influencing-scarab-of-the-shaper': 9}"
Mirage,chaos|runegraft-of-the-novamark,"{'chaos': 1310, 'runegraft-of-the-novamark': 131}","{'chaos': 4910, 'runegraft-of-the-novamark': 158}","{'chaos': 6210, 'runegraft-of-the-novamark': 186}","{'chaos': 10, 'runegraft-of-the-novamark': 1}","{'chaos': 10, 'runegraft-of-the-novamark': 1}"
Mirage,chaos|the-wind,"{'chaos': 1, 'the-wind': 1}","{'chaos': 52, 'the-wind': 378}","{'chaos': 122, 'the-wind': 378}","{'chaos': 1, 'the-wind': 1}","{'chaos': 1, 'the-wind': 1}"
Mirage,chaos|clear-oil,"{'chaos': 67, 'clear-oil': 345}","{'chaos': 4, 'clear-oil': 4654}","{'chaos': 4, 'clear-oil': 5026}","{'chaos': 7, 'clear-oil': 38}","{'chaos': 1, 'clear-oil': 1}"
Mirage,chaos|crescent-splinter,"{'chaos': 1001, 'crescent-splinter': 286}","{'chaos': 5, 'crescent-splinter': 1528}","{'chaos': 20, 'crescent-splinter': 1680}","{'chaos': 1, 'crescent-splinter': 1}","{'chaos': 4, 'crescent-splinter': 1}"
Mirage,chaos|legion-scarab-of-command,"{'chaos': 1644, 'legion-scarab-of-command': 1108}","{'chaos': 936, 'legion-scarab-of-command': 16921}","{'chaos': 1367, 'legion-scarab-of-command': 17237}","{'chaos': 1, 'legion-scarab-of-command': 1}","{'chaos': 2, 'legion-scarab-of-command': 1}"
Mirage,chaos|the-price-of-prescience,"{'chaos': 2, 'the-price-of-prescience': 1}","{'chaos': 1150, 'the-price-of-prescience': 364}","{'chaos': 1152, 'the-price-of-prescience': 364}","{'chaos': 2, 'the-price-of-prescience': 1}","{'chaos': 2, 'the-price-of-prescience': 1}"
Mirage,chaos|the-one-that-got-away,"{'chaos': 0, 'the-one-that-got-away': 0}","{'chaos': 45, 'the-one-that-got-away': 0}","{'chaos': 45, 'the-one-that-got-away': 1}","{'chaos': 0, 'the-one-that-got-away': 0}","{'chaos': 0, 'the-one-that-got-away': 0}"
Mirage,chaos|lesser-eldritch-ember,"{'chaos': 531, 'lesser-eldritch-ember': 10641}","{'chaos': 0, 'lesser-eldritch-ember': 37378}","{'chaos': 0, 'lesser-eldritch-ember': 53228}","{'chaos': 1, 'lesser-eldritch-ember': 21}","{'chaos': 1, 'lesser-eldritch-ember': 20}"
Mirage,chaos|alch,"{'chaos': 14014, 'alch': 92218}","{'chaos': 11219, 'alch': 152110}","{'chaos': 12271, 'alch': 166449}","{'chaos': 1, 'alch': 12}","{'chaos': 1, 'alch': 5}"
